Adj Close,Close,Date,High,Low,Open,Volume
77897.34375,78300.0,2022-01-07,78400.0,77400.0,78100.0,15163757
77598.890625,78000.0,2022-01-10,78100.0,77100.0,78100.0,9947422
78494.2578125,78900.0,2022-01-11,79000.0,78000.0,78400.0,13221123
78494.2578125,78900.0,2022-01-12,79600.0,78600.0,79500.0,11000502
77499.40625,77900.0,2022-01-13,79300.0,77900.0,79300.0,13889401
76902.4921875,77300.0,2022-01-14,78100.0,77100.0,77700.0,10096725
77101.4609375,77500.0,2022-01-17,77800.0,76900.0,77600.0,8785122
76604.03125,77000.0,2022-01-18,77800.0,76600.0,77600.0,9592788
75907.6328125,76300.0,2022-01-19,76900.0,76100.0,76500.0,10598290
76106.6015625,76500.0,2022-01-20,76700.0,75900.0,76200.0,9708168
75211.234375,75600.0,2022-01-21,75800.0,74700.0,75800.0,15774888
74713.8046875,75100.0,2022-01-24,75800.0,74700.0,75400.0,13691134
73619.4609375,74000.0,2022-01-25,75000.0,73200.0,74800.0,17766704
73619.4609375,74000.0,2022-01-26,74000.0,74000.0,74000.0,0
70933.34375,71300.0,2022-01-27,74000.0,71300.0,73800.0,22274777
72923.0546875,73300.0,2022-01-28,73700.0,71200.0,71300.0,21367447
72923.0546875,73300.0,2022-02-03,74900.0,73300.0,74900.0,17744721
73619.4609375,74000.0,2022-02-04,74600.0,73400.0,74300.0,12730034
72624.6015625,73000.0,2022-02-07,73600.0,72400.0,73500.0,14240838
72624.6015625,73000.0,2022-02-08,73000.0,73000.0,73000.0,0
72624.6015625,73000.0,2022-02-09,73000.0,73000.0,73000.0,0
75012.2578125,75400.0,2022-02-10,75800.0,74700.0,75600.0,17746033
74514.828125,74900.0,2022-02-11,75500.0,74600.0,75000.0,12205407
73321.0,73700.0,2022-02-14,74500.0,73100.0,74400.0,13993255
73321.0,73700.0,2022-02-15,74200.0,73100.0,74100.0,9320365
74415.34375,74800.0,2022-02-16,74900.0,74200.0,74600.0,10767386
74614.3125,75000.0,2022-02-17,75600.0,74500.0,75000.0,13605382
73917.9140625,74300.0,2022-02-18,74800.0,73700.0,74600.0,10122226
73917.9140625,74300.0,2022-02-21,74300.0,74300.0,74300.0,0
73917.9140625,74300.0,2022-02-22,74300.0,74300.0,74300.0,0
73917.9140625,74300.0,2022-02-23,74300.0,74300.0,74300.0,0
71132.3125,71500.0,2022-02-24,72300.0,71300.0,72300.0,15759283
71530.2578125,71900.0,2022-02-25,72600.0,71900.0,72100.0,13168484
71530.2578125,71900.0,2022-02-28,71900.0,71900.0,71900.0,0
71331.2890625,71700.0,2022-03-02,72400.0,71500.0,72300.0,12481430
72525.1171875,72900.0,2022-03-03,73100.0,72200.0,72300.0,13232638
72525.1171875,72900.0,2022-03-04,72900.0,72900.0,72900.0,0
69739.515625,70100.0,2022-03-07,70600.0,69900.0,70000.0,18617138
69142.6015625,69500.0,2022-03-08,70000.0,68700.0,68800.0,15828269
69142.6015625,69500.0,2022-03-10,69500.0,69500.0,69500.0,0
69640.03125,70000.0,2022-03-11,70700.0,69700.0,70500.0,15787655
69839.0,70200.0,2022-03-14,70200.0,69600.0,70000.0,9040993
69839.0,70200.0,2022-03-15,70200.0,70200.0,70200.0,0
70037.96875,70400.0,2022-03-16,70500.0,69700.0,70200.0,10175750
70037.96875,70400.0,2022-03-17,70400.0,70400.0,70400.0,0
70336.4296875,70700.0,2022-03-18,70900.0,70200.0,70600.0,14410038
69540.5390625,69900.0,2022-03-21,71000.0,69900.0,70900.0,11169002
69938.484375,70300.0,2022-03-22,70500.0,69900.0,69900.0,9402666
70137.4609375,70500.0,2022-03-23,71200.0,70300.0,70600.0,12398025
69441.0546875,69800.0,2022-03-24,70300.0,69600.0,69600.0,37943357
69441.0546875,69800.0,2022-03-25,70200.0,69600.0,70100.0,12986010
69341.5703125,69700.0,2022-03-28,69900.0,69200.0,69500.0,12619289
69839.0,70200.0,2022-03-29,70300.0,69800.0,70000.0,13686208
69900.0,69900.0,2022-03-30,70500.0,69800.0,70300.0,12670187
69600.0,69600.0,2022-03-31,70200.0,69600.0,69900.0,12510366
69100.0,69100.0,2022-04-01,69500.0,69000.0,69500.0,15916846
69300.0,69300.0,2022-04-04,69300.0,68600.0,68900.0,11107905
69200.0,69200.0,2022-04-05,69600.0,69100.0,69400.0,8467248
68500.0,68500.0,2022-04-06,68800.0,68500.0,68600.0,15517308
